subjCode,workerId,assignmentId,hitId,category,expTimer,response,trial_number,rt
thompsadon343,workerId,assignmentId,hitId,barbiedoll,123.481,barbies,1,4535
thompsadon343,workerId,assignmentId,hitId,bed,125.194,beds,2,1706
thompsadon343,workerId,assignmentId,hitId,balloon,127.423,balloons,3,2222
thompsadon343,workerId,assignmentId,hitId,beanbagchair,131.907,beanbags,4,4478
thompsadon343,workerId,assignmentId,hitId,armyguy,134.099,soldiers,5,2184
thompsadon343,workerId,assignmentId,hitId,babushkadolls,136.193,dolls,6,2088
thompsadon343,workerId,assignmentId,hitId,baseballcards,138.798,baseball cards,7,2598
thompsadon343,workerId,assignmentId,hitId,bell,140.25,bells,8,1445
thompsadon343,workerId,assignmentId,hitId,ball,142.066,balls,9,1809
thompsadon343,workerId,assignmentId,hitId,axe,143.51,axes,10,1438
thompsadon343,workerId,assignmentId,hitId,bagel,145.685,bagels,11,2168
thompsadon343,workerId,assignmentId,hitId,airplane,147.802,airplanes,12,2109
thompsadon343,workerId,assignmentId,hitId,bathsuit,150.333,swimming suits,13,2524
thompsadon343,workerId,assignmentId,hitId,bearteddy,155.758,teddy bears,14,5419
thompsadon343,workerId,assignmentId,hitId,apple,157.235,apples,15,1471
thompsadon343,workerId,assignmentId,hitId,babycarriage,159.524,strollers,16,2281
thompsadon343,workerId,assignmentId,hitId,beermug,161.531,beers,17,2000
thompsadon343,workerId,assignmentId,hitId,backpack,163.978,backpacks,18,2441
thompsadon343,workerId,assignmentId,hitId,abacus,167.259,abacuses,19,3275
thompsadon343,workerId,assignmentId,hitId,basket,169.975,baskets,20,2708
